Filename,Speaker,Word,F0,Start,End,Duration,Region
Popcast1,CG,oh,200.0982282,98.39353018,98.8507061,457.1759206,1
Popcast1,JC1,wait,NA,99.59,99.81,220,2
Popcast1,JC1,oh,137.3996504,110.65,110.8777175,227.7174554,3
Popcast1,CG,yep,224.2952677,113.5179008,113.8462346,328.3338498,4
Popcast1,JC1,TRUE,101.9519735,115.47,115.8,330,5
Popcast1,JC1,well,104.3829286,129.55,129.84,290,6
Popcast1,CG,wow,138.5487859,142.559,142.579,20,7
Popcast1,JC1,yes,NA,142.59,142.89,300,8
Popcast1,JC1,no,126.8197107,166.36,166.99,630,9
Popcast1,CG,yes,NA,169.07,169.29,220,10
Popcast1,CG,yeah,93.34183793,169.44,169.52,80,11
Popcast1,CG,yeah,203.6866538,169.52,169.85,330,12
Popcast1,CG,yeah,NA,176.9,177.12,220,13
Popcast1,JC2,yeah,145.4782753,194.65,194.89,240,14
Popcast1,JC1,wow,NA,200.52,200.54,20,15
Popcast1,JC2,yeah,216.5108388,212.56,212.579,19,16
Popcast1,JC2,yeah,294.1307941,222.76,222.829,69,17
Popcast1,JC2,no,190.3232948,222.94,223.07,130,18
Popcast1,JC2,yeah,NA,226.679,226.699,20,19
Popcast1,JC1,no,116.9676717,229.71,229.99,280,20
Popcast1,JC1,right,104.2823543,235.1,235.26,160,21
Popcast1,JC2,yeah,94.5239217,236.87,237.05,180,22
Popcast1,JC2,yeah,93.56980208,237.05,237.27,220,23
Popcast1,JC2,yeah,75.41906778,237.27,237.67,400,24
Popcast1,CG,well,230.0948512,251.347,251.424,77,25
Popcast1,CG,yeah,113.8066603,254.039,254.059,20,26
Popcast1,CG,yeah,88.240265,267.009,267.029,20,27
Popcast1,CG,wow,153.6443653,274.88,275.35,470,28
Popcast1,JP,oh,188.938008,277.51,279.29,1780,29
Popcast1,JC1,yes,78.71450342,300.799,301.129,330,30
Popcast2,JC1,oh,162.8343458,20,20.57,570,1
Popcast2,JP,oh,201.926656,20.63,20.779,149,2
Popcast2,JP,mhm,115.8094966,22.9,23.02,120,3
Popcast2,JP,yeah,NA,23.03,23.05,20,4
Popcast2,JC1,yeah,135.7433752,27.46,27.48,20,5
Popcast2,JC1,yeah,163.8326669,41.1,41.38,280,6
Popcast2,JC1,agree,131.4760163,41.95,42.52,570,7
Popcast2,JP,well,259.3974511,51.62,51.69,70,8
Popcast2,JC1,yeah,106.9575153,52.629,52.969,340,9
Popcast2,JC1,interesting,NA,61.71,62.1,390,10
Popcast2,NA,right,125.6844964,167.18,167.4,220,11
Popcast2,CG,no,373.1201697,170.47,170.49,20,12
Popcast2,CG,fine,136.6701441,170.66,170.9,240,13
Popcast2,JC1,yeah,134.0788234,173.16,173.46,300,14
