"","dir","region","text","discRole","evBasis","antPres","antText","antEmbed","antMod","antNeg","antSubj","emb","embTense","embSubj","comText","comMod","comNeg","comSubj","subjPred","subjPredType","ovExp","ovExpExp","ovExpInt","target","fullText","Speaker","F0","Start","End","Duration"
"1","Popcast1",1,"oh","ContentSurprise","1stPerson","Present","it's an ongoing bit",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"oh","JC1: the best drum. 
CG: What is that from? 
JC2: Bi- {LG} Jon is convinced— 
JC1: {LG} It's an ongoing bit. 
CG: <<oh>> {LG} 
JC2: You missed the Popcast. 
JC1: In twenty nine- 
JC2: The Billie Eilish cast. 
JC1: Wait, first of all, where have you been during twenty nineteen, when I've identified Billie Eilish as primarily in the -- in the musical tradition of Tony 

","CG",200.0982282,98.39353018,98.8507061,457.1759206
"2","Popcast1",2,"wait","NotParticle","1stPerson",NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"wait","JC1: the best drum. 
CG: What is that from? 
JC2: Bi- {LG} Jon is convinced— 
JC1: {LG} It's an ongoing bit. 
CG: Oh. {LG} 
JC2: You missed the Popcast. 
JC1: In twenty nine- 
JC2: The Billie Eilish cast. 
JC1: <<wait>> first of all, where have you been during twenty nineteen, when I've identified Billie Eilish as primarily in the -- in the musical tradition of Tony Bennett? 
CG: Missed the entire 

","JC1",NA,99.59,99.81,220
"3","Popcast1",3,NA,"ContentSurprise","1stPerson","Present","missed the entire thing",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"oh","JC1: where have you been during twenty nineteen, when I've identified Billie Eilish as primarily in the -- in the musical tradition of Tony Bennett? 
CG: Missed the entire thing. 
JC2: {LG} 
JC1: <<oh>> my gosh. 
JC2: Cause she never would have let you get that in print. 
CG: Yep! 
JC2: You kept that one only for the airwaves. 
JC1: That's true, it's l- -- it's like, it used to be things that were only online and not in print, and now there's things that are 

","JC1",137.3996504,110.65,110.8777175,227.7174554
"4","Popcast1",4,"yep","ContentAgreement","1stPerson","Present","she never would have let you get that in print",TRUE,"Counterfactual",TRUE,NA,"cause",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yep","JC1: I've identified Billie Eilish as primarily in the -- in the musical tradition of Tony Bennett? 
CG: Missed the entire thing. 
JC2: {LG} 
JC1: Oh my gosh. 
JC2: Cause she never would have let you get that in print. 
CG: <<yep>> 
JC2: You kept that one only for the airwaves. 
JC1: That's true, it's l- -- it's like, it used to be things that were only online and not in print, and now there's things that are only audio, not even online. 
CG: {LG} I shouldn't multitask 

","CG",224.2952677,113.5179008,113.8462346,328.3338498
"5","Popcast1",5,"that's true","ContentAgreement","OwnKnowledge","Present","you kept that one only for the airwaves",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"true","JC1: as primarily in the -- in the musical tradition of Tony Bennett? 
CG: Missed the entire thing. 
JC2: {LG} 
JC1: Oh my gosh. 
JC2: Cause she never would have let you get that in print. 
CG: Yep! 
JC2: You kept that one only for the airwaves. 
JC1: That's <<true>> it's l- -- it's like, it used to be things that were only online and not in print, and now there's things that are only audio, not even online. 
CG: {LG} I shouldn't multitask when I listen to the Popcast, evidently. 
JC2: Jon 

","JC1",101.9519735,115.47,115.8,330
"6","Popcast1",6,"well","Well","1stPerson","Present","jon thinks that billie eilish is a very traditional songwriter",FALSE,"Belief",FALSE,FALSE,NA,NA,NA,NA,"None",FALSE,TRUE,"traditional","PPT",NA,NA,NA,"well","JC1: in print, and now there's things that are only audio, not even online. 
CG: {LG} I shouldn't multitask when I listen to the Popcast, evidently. 
JC2: Jon thinks that Billie Eilish is a very traditional songwriter. 
JC1: <<well>> low-key, Finneas is a very traditional s- 
JC2: Are you giving Finneas credit for Billie Eilish's songwriting? 
JC1: I'm saying that Finneas's contributions help to ground Billie Eilish in a certain 

","JC1",104.3829286,129.55,129.84,290
"7","Popcast1",7,"wow","BehaviorSurprise","1stPerson",NA,"tony bennett tradition",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"wow","JC2: Finneas credit for Billie Eilish's songwriting? 
JC1: I'm saying that Finneas's contributions help to ground Billie Eilish in a certain traditional sense. 
JC2: Tony Bennett tradition. 
CG: <<wow>> 
JC1: Yes, I think t- -- I think Billy Eilish is very traditional. Anyway, we're talking about Billie Eilish because we're here to talk about the twenty nineteen albums of the year and songs of the year. Jon Parales is here, chief pop critic of the New York Times. 

","CG",138.5487859,142.559,142.579,20
"8","Popcast1",8,NA,NA,"1stPerson",NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yes","JC2: Finneas credit for Billie Eilish's songwriting? 
JC1: I'm saying that Finneas's contributions help to ground Billie Eilish in a certain traditional sense. 
JC2: Tony Bennett tradition. 
CG: Wow. 
JC1: <<yes>> I think t- -- I think Billy Eilish is very traditional. Anyway, we're talking about Billie Eilish because we're here to talk about the twenty nineteen albums of the year and songs of the year. Jon Parales is here, chief pop critic of the New York Times. 

","JC1",NA,142.59,142.89,300
"9","Popcast1",9,"no",NA,"1stPerson","Present",NA,TRUE,NA,FALSE,FALSE,"thought","Past","1st",NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"no","JC1: Billie Eilish: 'When We All Fall Asleep, Where Do We Go?', 'Bad Guy' from that album. Billie Eilish. J P, we'll get back to it. Caryn Ganz is here. 
CG: I thought you were expecting Jon to answer the question. 
JC1: <<no>> I dunno, do you have the answer? 
JC2: The question posed by the album title? 
CG: {LG} Yes, yeah, yeah. 
JC1: Caryn Ganz, pop music editor in the New York Times, do you have the answer to the question? 
CG: Not yet. Give -- give me however long this Popcast is. 
JC1: Three hours. 
CG: Yeah. 

","JC1",126.8197107,166.36,166.99,630
"10","Popcast1",10,"yes","Answer","1stPerson","Present","the question posed by the album title",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yes","JC1: 'Bad Guy' from that album. Billie Eilish. J P, we'll get back to it. Caryn Ganz is here. 
CG: I thought you were expecting Jon to answer the question. 
JC1: No. I dunno, do you have the answer? 
JC2: The question posed by the album title? 
CG: {LG} <<yes>> yeah, yeah. 
JC1: Caryn Ganz, pop music editor in the New York Times, do you have the answer to the question? 
CG: Not yet. Give -- give me however long this Popcast is. 
JC1: Three hours. 
CG: Yeah. 
JC1: Joe Coscarelli, pop music reporter at the New York 

","CG",NA,169.07,169.29,220
"11","Popcast1",11,"yeah","Answer","1stPerson","Present","the question posed by the album title",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC1: 'Bad Guy' from that album. Billie Eilish. J P, we'll get back to it. Caryn Ganz is here. 
CG: I thought you were expecting Jon to answer the question. 
JC1: No. I dunno, do you have the answer? 
JC2: The question posed by the album title? 
CG: {LG} Yes, <<yeah>> yeah. 
JC1: Caryn Ganz, pop music editor in the New York Times, do you have the answer to the question? 
CG: Not yet. Give -- give me however long this Popcast is. 
JC1: Three hours. 
CG: Yeah. 
JC1: Joe Coscarelli, pop music reporter at the New York Times. 

","CG",93.34183793,169.44,169.52,80
"12","Popcast1",12,"yeah","Answer","1stPerson","Present","the question posed by the album title",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC1: 'Bad Guy' from that album. Billie Eilish. J P, we'll get back to it. Caryn Ganz is here. 
CG: I thought you were expecting Jon to answer the question. 
JC1: No. I dunno, do you have the answer? 
JC2: The question posed by the album title? 
CG: {LG} Yes, yeah, <<yeah>> 
JC1: Caryn Ganz, pop music editor in the New York Times, do you have the answer to the question? 
CG: Not yet. Give -- give me however long this Popcast is. 
JC1: Three hours. 
CG: Yeah. 
JC1: Joe Coscarelli, pop music reporter at the New York Times. 

","CG",203.6866538,169.52,169.85,330
"13","Popcast1",13,"yeah","BehaviorAgreement",NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC1: No. I dunno, do you have the answer? 
JC2: The question posed by the album title? 
CG: {LG} Yes, yeah, yeah. 
JC1: Caryn Ganz, pop music editor in the New York Times, do you have the answer to the question? 
CG: Not yet. Give -- give me however long this Popcast is. 
JC1: Three hours. 
CG: <<yeah>> 
JC1: Joe Coscarelli, pop music reporter at the New York Times. 
JC2: Little sniffly. 
JC1: Young -- young sniffle. 
CG: {LG} Lil' sniffly. 
JC2: Young sniffles. 
JC1: Young sniffles, um. Where do we go, when we all fall asleep? 

","CG",NA,176.9,177.12,220
"14","Popcast1",14,"yeah",NA,"1stPerson","Present",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC1: um. Where do we go, when we all fall asleep? 
JC2: I don't know about you guys, but I go to a place where I never remember anything that happens, so- 
JC1: Is that t- 
JC2: <<yeah>> I hardly ever- 
JC1: Do you not dream? 
JC2: I only dream if I'm on weird, like, prescription drugs, which I try not to be, but like- 
JC1: Wow. 
JC2: You know, I got my wisdom teeth out, I had some really weird dreams- 
JC1: You're talkin' 'bout best albums 

","JC2",145.4782753,194.65,194.89,240
"15","Popcast1",15,"wow","ContentSurprise","1stPerson","Present","i only dream if i'm on weird like prescription drugs",FALSE,"None",FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"wow","JC2: a place where I never remember anything that happens, so- 
JC1: Is that t- 
JC2: Yeah, I hardly ever- 
JC1: Do you not dream? 
JC2: I only dream if I'm on weird, like, prescription drugs, which I try not to be, but like- 
JC1: <<wow>> 
JC2: You know, I got my wisdom teeth out, I had some really weird dreams- 
JC1: You're talkin' 'bout best albums of twenty nineteen, the best album of twenty nineteen was talking to Joe about getting his wisdom teeth pulled. 

","JC1",NA,200.52,200.54,20
"16","Popcast1",16,"yeah","BehaviorAgreement","1stPerson","Present","the best album of twenty nineteen was talking to joe about getting his wisdom teeth pulled",FALSE,"None",FALSE,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,"best","PPT",NA,NA,NA,"yeah","JC2: weird dreams- 
JC1: You're talkin' 'bout best albums of twenty nineteen, the best album of twenty nineteen was talking to Joe about getting his wisdom teeth pulled. {LG} 
CG: {LG} 
JC2: <<yeah>> 
JC1: That was a -- that was a real -- that was a roller coaster. 
JC2: I had a lot of horrible dreams for like, ten days, probably. 
JC1: I felt really bad, cause I think I- 
JC2: Body horror. 
JC1: I like, rather naively, like -- cause when I- 
JC2: You were 

","JC2",216.5108388,212.56,212.579,19
"17","Popcast1",17,"yeah","Phatic",NA,"Quoted",NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC1: That was a -- that was a real -- that was a roller coaster. 
JC2: I had a lot of horrible dreams for like, ten days, probably. 
JC1: I felt really bad, cause I think I- 
JC2: Body horror. 
JC1: I like, rather naively, like -- cause when I- 
JC2: You were like, <<yeah>> it's no big deal.' 
JC1: Cause I -- when I had my wisdom teeth out, you know, ten or twelve years ago- 
JC2: Yeah. 
JC1: I literally like -- I went, I had 'em out, no one was there to pick me up, I got in -- I went to Junior's 

","JC2",294.1307941,222.76,222.829,69
"18","Popcast1",18,"no","NotParticle",NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"no","JC1: a -- that was a real -- that was a roller coaster. 
JC2: I had a lot of horrible dreams for like, ten days, probably. 
JC1: I felt really bad, cause I think I- 
JC2: Body horror. 
JC1: I like, rather naively, like -- cause when I- 
JC2: You were like, 'Yeah, it's <<no>> big deal.' 
JC1: Cause I -- when I had my wisdom teeth out, you know, ten or twelve years ago- 
JC2: Yeah. 
JC1: I literally like -- I went, I had 'em out, no one was there to pick me up, I got in -- I went to Junior's -- this was 

","JC2",190.3232948,222.94,223.07,130
"19","Popcast1",19,"yeah",NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC2: dreams for like, ten days, probably. 
JC1: I felt really bad, cause I think I- 
JC2: Body horror. 
JC1: I like, rather naively, like -- cause when I- 
JC2: You were like, 'Yeah, it's no big deal.' 
JC1: Cause I -- when I had my wisdom teeth out, you know, ten or twelve years ago- 
JC2: <<yeah>> 
JC1: I literally like -- I went, I had 'em out, no one was there to pick me up, I got in -- I went to Junior's -- this was -- this was at, um -- what's the building that's right by BAM? Uh, one Hanson 

","JC2",NA,226.679,226.699,20
"20","Popcast1",20,NA,"NotParticle",NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"no","JC1: I- 
JC2: Body horror. 
JC1: I like, rather naively, like -- cause when I- 
JC2: You were like, 'Yeah, it's no big deal.' 
JC1: Cause I -- when I had my wisdom teeth out, you know, ten or twelve years ago- 
JC2: Yeah. 
JC1: I literally like -- I went, I had 'em out, <<no>> one was there to pick me up, I got in -- I went to Junior's -- this was -- this was at, um -- what's the building that's right by BAM? Uh, one Hanson Place. 
JC2: Yeah, yeah, yeah. 
JC1: Walked to Junior's, got a cheesecake, 

","JC1",116.9676717,229.71,229.99,280
"21","Popcast1",21,"right","NotParticle",NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"right","JC1: know, ten or twelve years ago- 
JC2: Yeah. 
JC1: I literally like -- I went, I had 'em out, no one was there to pick me up, I got in -- I went to Junior's -- this was -- this was at, um -- what's the building that's <<right>> by BAM? Uh, one Hanson Place. 
JC2: Yeah, yeah, yeah. 
JC1: Walked to Junior's, got a cheesecake, hailed a cab, went home, had a great night. And that was that! Like, that was good. 
JC2: This was not my experience. 
JC1: I'm so sorry. 

","JC1",104.2823543,235.1,235.26,160
"22","Popcast1",22,"yeah","ContentAgreement","OwnKnowledge","Present",NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC1: I literally like -- I went, I had 'em out, no one was there to pick me up, I got in -- I went to Junior's -- this was -- this was at, um -- what's the building that's right by BAM? Uh, one Hanson Place. 
JC2: <<yeah>> yeah, yeah. 
JC1: Walked to Junior's, got a cheesecake, hailed a cab, went home, had a great night. And that was that! Like, that was good. 
JC2: This was not my experience. 
JC1: I'm so sorry. 
JC2: My experience was the Billie Eilish 

","JC2",94.5239217,236.87,237.05,180
