"dir","region","annotator","text","discRole","evBasis","antPres","antText","antEmbed","antMod","antNeg","antSubj","emb","embTense","embSubj","comText","comMod","comNeg","comSubj","subjPred","subjPredType","ovExp","ovExpExp","ovExpInt","target","fullText","Speaker","F0","Start","End","Duration"
"Popcast1",4,"annSP","yep","ContentAgreement","1stPerson","Present","she never would have let you get that in print",TRUE,"Counterfactual",TRUE,FALSE,"cause","None",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yep","JC1: I've identified Billie Eilish as primarily in the -- in the musical tradition of Tony Bennett? 
CG: Missed the entire thing. 
JC2: {LG} 
JC1: Oh my gosh. 
JC2: Cause she never would have let you get that in print. 
CG: <<yep>> 
JC2: You kept that one only for the airwaves. 
JC1: That's true, it's l- -- it's like, it used to be things that were only online and not in print, and now there's things that are only audio, not even online. 
CG: {LG} I shouldn't multitask 

","CG",224.2952677,113.5179008,113.8462346,328.3338498
"Popcast1",10,"annSP","yes","Answer","1stPerson","Present","the question posed by the album title",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yes","JC1: 'Bad Guy' from that album. Billie Eilish. J P, we'll get back to it. Caryn Ganz is here. 
CG: I thought you were expecting Jon to answer the question. 
JC1: No. I dunno, do you have the answer? 
JC2: The question posed by the album title? 
CG: {LG} <<yes>> yeah, yeah. 
JC1: Caryn Ganz, pop music editor in the New York Times, do you have the answer to the question? 
CG: Not yet. Give -- give me however long this Popcast is. 
JC1: Three hours. 
CG: Yeah. 
JC1: Joe Coscarelli, pop music reporter at the New York 

","CG",NA,169.07,169.29,220
"Popcast1",11,"annSP","yeah","Answer","1stPerson","Present","the question posed by the album title",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC1: 'Bad Guy' from that album. Billie Eilish. J P, we'll get back to it. Caryn Ganz is here. 
CG: I thought you were expecting Jon to answer the question. 
JC1: No. I dunno, do you have the answer? 
JC2: The question posed by the album title? 
CG: {LG} Yes, <<yeah>> yeah. 
JC1: Caryn Ganz, pop music editor in the New York Times, do you have the answer to the question? 
CG: Not yet. Give -- give me however long this Popcast is. 
JC1: Three hours. 
CG: Yeah. 
JC1: Joe Coscarelli, pop music reporter at the New York Times. 

","CG",93.34183793,169.44,169.52,80
"Popcast1",5,"annSP","that's true","ContentAgreement","OwnKnowledge","Present","you kept that one only for the airwaves",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"true","JC1: as primarily in the -- in the musical tradition of Tony Bennett? 
CG: Missed the entire thing. 
JC2: {LG} 
JC1: Oh my gosh. 
JC2: Cause she never would have let you get that in print. 
CG: Yep! 
JC2: You kept that one only for the airwaves. 
JC1: That's <<true>> it's l- -- it's like, it used to be things that were only online and not in print, and now there's things that are only audio, not even online. 
CG: {LG} I shouldn't multitask when I listen to the Popcast, evidently. 
JC2: Jon 

","JC1",101.9519735,115.47,115.8,330
"Popcast1",13,"annSP","yeah","BehaviorAgreement",NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC1: No. I dunno, do you have the answer? 
JC2: The question posed by the album title? 
CG: {LG} Yes, yeah, yeah. 
JC1: Caryn Ganz, pop music editor in the New York Times, do you have the answer to the question? 
CG: Not yet. Give -- give me however long this Popcast is. 
JC1: Three hours. 
CG: <<yeah>> 
JC1: Joe Coscarelli, pop music reporter at the New York Times. 
JC2: Little sniffly. 
JC1: Young -- young sniffle. 
CG: {LG} Lil' sniffly. 
JC2: Young sniffles. 
JC1: Young sniffles, um. Where do we go, when we all fall asleep? 

","CG",NA,176.9,177.12,220
"Popcast1",7,"annSP","wow","BehaviorSurprise","1stPerson","Present","tony bennett tradition",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"wow","JC2: Finneas credit for Billie Eilish's songwriting? 
JC1: I'm saying that Finneas's contributions help to ground Billie Eilish in a certain traditional sense. 
JC2: Tony Bennett tradition. 
CG: <<wow>> 
JC1: Yes, I think t- -- I think Billy Eilish is very traditional. Anyway, we're talking about Billie Eilish because we're here to talk about the twenty nineteen albums of the year and songs of the year. Jon Parales is here, chief pop critic of the New York Times. 

","CG",138.5487859,142.559,142.579,20
"Popcast1",6,"annSP","well","Well","1stPerson","Present","jon thinks that billie eilish is a very traditional songwriter",FALSE,"Belief",FALSE,FALSE,NA,NA,NA,"well lowkey finneas is a very traditional s","None",FALSE,TRUE,"traditional","PPT",NA,NA,NA,"well","JC1: in print, and now there's things that are only audio, not even online. 
CG: {LG} I shouldn't multitask when I listen to the Popcast, evidently. 
JC2: Jon thinks that Billie Eilish is a very traditional songwriter. 
JC1: <<well>> low-key, Finneas is a very traditional s- 
JC2: Are you giving Finneas credit for Billie Eilish's songwriting? 
JC1: I'm saying that Finneas's contributions help to ground Billie Eilish in a certain 

","JC1",104.3829286,129.55,129.84,290
"Popcast1",12,"annSP","yeah","Answer","1stPerson","Present","the question posed by the album title",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC1: 'Bad Guy' from that album. Billie Eilish. J P, we'll get back to it. Caryn Ganz is here. 
CG: I thought you were expecting Jon to answer the question. 
JC1: No. I dunno, do you have the answer? 
JC2: The question posed by the album title? 
CG: {LG} Yes, yeah, <<yeah>> 
JC1: Caryn Ganz, pop music editor in the New York Times, do you have the answer to the question? 
CG: Not yet. Give -- give me however long this Popcast is. 
JC1: Three hours. 
CG: Yeah. 
JC1: Joe Coscarelli, pop music reporter at the New York Times. 

","CG",203.6866538,169.52,169.85,330
"Popcast1",16,"annSP","yeah","BehaviorAgreement","1stPerson","Present","the best album of twenty nineteen was talking to joe about getting his wisdom teeth pulled",FALSE,"None",FALSE,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,"best","PPT",NA,NA,NA,"yeah","JC2: weird dreams- 
JC1: You're talkin' 'bout best albums of twenty nineteen, the best album of twenty nineteen was talking to Joe about getting his wisdom teeth pulled. {LG} 
CG: {LG} 
JC2: <<yeah>> 
JC1: That was a -- that was a real -- that was a roller coaster. 
JC2: I had a lot of horrible dreams for like, ten days, probably. 
JC1: I felt really bad, cause I think I- 
JC2: Body horror. 
JC1: I like, rather naively, like -- cause when I- 
JC2: You were 

","JC2",216.5108388,212.56,212.579,19
"Popcast1",2,"annSP","wait","NotParticle","1stPerson","Present",NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"wait","JC1: the best drum. 
CG: What is that from? 
JC2: Bi- {LG} Jon is convinced— 
JC1: {LG} It's an ongoing bit. 
CG: Oh. {LG} 
JC2: You missed the Popcast. 
JC1: In twenty nine- 
JC2: The Billie Eilish cast. 
JC1: <<wait>> first of all, where have you been during twenty nineteen, when I've identified Billie Eilish as primarily in the -- in the musical tradition of Tony Bennett? 
CG: Missed the entire 

","JC1",NA,99.59,99.81,220
